role1	role2	genomes
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	2490941.3,557993.3,1737569.3,2023178.18,157176.8,525904.6,2067454.3,1647103.3,489703.3,379066.3,59196.3,203907.6,2024841.10,1206109.5,525909.11,754252.34,1241833.3,926569.3,1002870.3,1079.16,479430.3,1123388.3,518.42,454171.5,1437881.3,1391995.3,166793.3,1884905.18,2003555.3,1560006.3,1946522.3,926550.5,1715285.3,679936.5
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	1121447.3,2490941.3,557993.3,1882918.15,1737569.3,210.5028,157176.8,263820.9,525904.6,59196.3,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,1241833.3,266117.10,64091.14,926569.3,1002870.3,479434.6,479430.3,1123388.3,518.42,163164.29,1391995.3,1884905.18,2003555.3,2023178.18,436308.17,2597224.3,374847.13,2067454.3,1647103.3,489703.3,1946934.3,379066.3,203907.6,444157.8,1079.16,1945871.3,415426.13,1437881.3,166793.3,397948.10,1946522.3,926550.5,1715285.3,679936.5
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	1121447.3,2490941.3,557993.3,1882918.15,1737569.3,210.5028,157176.8,263820.9,525904.6,59196.3,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,1241833.3,266117.10,64091.14,926569.3,1002870.3,479434.6,479430.3,1123388.3,518.42,454171.5,1391995.3,1884905.18,2003555.3,1560006.3,1435377.6,2023178.18,436308.17,2597224.3,374847.13,2067454.3,1647103.3,489703.3,379066.3,203907.6,444157.8,1079.16,1945871.3,415426.13,1437881.3,166793.3,397948.10,1946522.3,926550.5,1715285.3,679936.5
Ribosome LSU-associated GTP-binding protein HflX	RNA-binding protein Hfq	1639.4260,2490941.3,518.42,1437881.3,1647103.3,489703.3,126741.4,1946934.3,59196.3,1560006.3,2024841.10,376620.10,1947072.3
Flagellar basal-body rod protein FlgG	Flagellar protein FlgJ [peptidoglycan hydrolase]	1121447.3,2605989.3,557993.3,1437881.3,1647103.3,489703.3,796939.3,980251.5,2023178.18,518.42,394503.7
8-amino-7-oxononanoate synthase (EC 2.3.1.47)	Malonyl-[acyl-carrier protein] O-methyltransferase (EC 2.1.1.197)	1121447.3,1437881.3,1719125.3,190304.8,727.1550,59196.3,428411.4,376620.10,1715285.3,518.42,36868.4
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)	1121447.3,2490941.3,557993.3,1882918.15,1737569.3,2023178.18,436308.17,2597224.3,374847.13,210.5028,157176.8,263820.9,525904.6,2067454.3,1647103.3,489703.3,379066.3,59196.3,203907.6,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,1241833.3,266117.10,64091.14,926569.3,1002870.3,1079.16,479434.6,479430.3,1123388.3,518.42,454171.5,1437881.3,163164.29,1391995.3,166793.3,1884905.18,2003555.3,1560006.3,397948.10,1946522.3,1435377.6,1715285.3,679936.5
Cell division protein FtsA	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase (EC 6.3.2.9)	1639.4260,557993.3,1882918.15,1423720.4,1919250.3,1123388.3,36868.4,1947784.3,190304.8,379066.3,456827.3,1749045.3,203907.6,795359.3,1972134.3,266117.10
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	1121447.3,64091.14,926569.3,795359.3,926550.5,1435377.6,479434.6,479430.3,1945871.3,679936.5,266117.10
Aspartate carbamoyltransferase regulatory chain (PyrI)	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	415426.13,608534.3,938289.3,1491.958,796939.3,716544.4,1260.19,374847.13,1947072.3,655811.4
LSU ribosomal protein L29p (L35e)	SSU ribosomal protein S14p (S29e)	1121447.3,2490941.3,557993.3,247481.57,1737569.3,2200854.3,572547.3,1970770.3,157176.8,309798.4,525904.6,159.151,36868.4,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,1121911.3,1241833.3,266117.10,1639.4260,608534.3,1262806.3,28227.8,926569.3,2069310.3,41978.26,445932.6,1002870.3,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,454171.5,163164.29,1884905.18,2003555.3,1560006.3,1946798.3,37692.4,376620.10,583355.3,1491.958,2023178.18,1946283.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,489703.3,190304.8,379066.3,796939.3,203907.6,1946251.3,428411.4,481448.7,2702.133,1947072.3,727.1550,1423720.4,1919250.3,1946294.3,1945871.3,1437881.3,938289.3,126741.4,166793.3,456827.3,59620.1701,1548207.7,926550.5,1715285.3,243273.25,2100.35,295596.4
LSU ribosomal protein L26e (L24p)	SSU ribosomal protein S11e (S17p)	415426.13,406327.12,64091.14,349307.15,436308.17,272844.11,1577791.3,1435377.6,263820.9,339860.19
Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)	Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)	1639.4260,1491.958,727.1550,1423720.4,572547.3,1260.19,479434.6,309798.4,655811.4,1408417.3,938289.3,126741.4,1560006.3,137778.5,1121911.3
SSU ribosomal protein S4p (S9e), zinc-dependent	Translation initiation factor 1	1882918.15,1491.958,572547.3,2597224.3,1408281.4,157176.8,309798.4,159.151,1609969.5,1805053.3,795359.3,525909.11,1121911.3,1947072.3,1002870.3,1946294.3,479434.6,479430.3,1123388.3,394503.7,126741.4,1884905.18,59620.1701,1560006.3,1946798.3,1946522.3,679936.5
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	2490941.3,557993.3,583355.3,1882918.15,1737569.3,2023178.18,349741.6,157176.8,525904.6,2067454.3,489703.3,379066.3,59196.3,203907.6,1206109.5,525909.11,754252.34,926569.3,1002870.3,479430.3,1123388.3,518.42,1945871.3,1437881.3,166793.3,1884905.18,2003555.3,1560006.3,1548207.7,1946522.3,926550.5,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	1121447.3,444157.8,64091.14,1915863.3,2023178.18,436308.17,374847.13,479434.6,157176.8,263820.9,1945871.3,2067454.3,415426.13,2003555.3,795359.3,1577791.3,1435377.6,679936.5,266117.10
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	2490941.3,557993.3,583355.3,1737569.3,349741.6,210.5028,157176.8,2067454.3,1647103.3,489703.3,1946934.3,379066.3,59196.3,203907.6,1206109.5,525909.11,137778.5,754252.34,926569.3,1002870.3,1079.16,479430.3,1123388.3,518.42,1945871.3,454171.5,1437881.3,166793.3,1884905.18,2003555.3,1560006.3,1548207.7,1946522.3,926550.5,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)	1121447.3,64091.14,2023178.18,436308.17,374847.13,479434.6,479430.3,157176.8,263820.9,2003555.3,795359.3,1577791.3,1435377.6,679936.5,266117.10
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	1121447.3,64091.14,1915863.3,2023178.18,436308.17,374847.13,479434.6,479430.3,263820.9,1945871.3,415426.13,2003555.3,795359.3,1577791.3,679936.5,266117.10
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)	2490941.3,557993.3,1882918.15,1737569.3,210.5028,157176.8,263820.9,525904.6,59196.3,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,266117.10,64091.14,926569.3,1002870.3,479434.6,479430.3,1123388.3,518.42,454171.5,163164.29,1884905.18,2003555.3,1560006.3,1577791.3,1435377.6,583355.3,1915863.3,2023178.18,349741.6,436308.17,2597224.3,374847.13,1647103.3,489703.3,1946934.3,379066.3,203907.6,481448.7,444157.8,1945871.3,415426.13,1437881.3,166793.3,397948.10,1548207.7,1946522.3,926550.5,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	1121447.3,2490941.3,557993.3,1882918.15,1737569.3,210.5028,157176.8,525904.6,59196.3,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,266117.10,64091.14,926569.3,1002870.3,479434.6,479430.3,1123388.3,518.42,454171.5,163164.29,1884905.18,2003555.3,1560006.3,1577791.3,1435377.6,583355.3,1915863.3,2023178.18,349741.6,436308.17,2597224.3,374847.13,1647103.3,489703.3,1946934.3,379066.3,203907.6,481448.7,444157.8,1079.16,1945871.3,415426.13,1437881.3,166793.3,397948.10,1548207.7,1946522.3,926550.5,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	1121447.3,2490941.3,557993.3,1882918.15,1737569.3,210.5028,157176.8,525904.6,59196.3,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,266117.10,64091.14,926569.3,1002870.3,479434.6,479430.3,1123388.3,518.42,454171.5,163164.29,1884905.18,2003555.3,1560006.3,1577791.3,1435377.6,583355.3,1915863.3,2023178.18,349741.6,436308.17,2597224.3,374847.13,1647103.3,489703.3,1946934.3,379066.3,203907.6,481448.7,444157.8,1401685.3,1079.16,1945871.3,415426.13,1437881.3,166793.3,397948.10,1548207.7,1946522.3,926550.5,1715285.3,679936.5
LSU ribosomal protein L24e	SSU ribosomal protein S28e	415426.13,406327.12,444157.8,64091.14,349307.15,436308.17,272844.11,374847.13,1577791.3,263820.9,339860.19
Large Subunit Ribosomal RNA	tRNA-Ala-TGC	406327.12,583355.3,716544.4,349741.6,572547.3,673862.3,309798.4,525904.6,1408417.3,190304.8,59196.3,796939.3,795359.3,1306947.3,481448.7,272844.11,339860.19,64091.14,926569.3,445932.6,1332188.3,479434.6,394503.7,456827.3,349307.15,37692.4
tRNA-Ser-GCT	tRNA-Ser-TGA	1121447.3,926569.3,1737569.3,479434.6,673862.3,1123388.3,525904.6,655811.4,394503.7,1294039.3,1432327.4,938289.3,190304.8,456827.3,796939.3,59620.1701,1946251.3,1946798.3,525909.11,1306947.3,926550.5,679936.5
LSU ribosomal protein L29p (L35e)	SSU ribosomal protein S17p (S11e)	1121447.3,2490941.3,247481.57,2200854.3,572547.3,1970770.3,525904.6,159.151,525909.11,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1391995.3,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,796939.3,203907.6,727.1550,2162266.3,938289.3,59620.1701,1548207.7,926550.5,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,518.42,1560006.3,376620.10,583355.3,349741.6,1946283.3,489703.3,379066.3,1946251.3,428411.4,481448.7,2702.133,1947072.3,813.178,1423720.4,1919250.3,1946294.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
Tryptophan synthase alpha chain (EC 4.2.1.20)	Tryptophan synthase beta chain (EC 4.2.1.20)	1121447.3,2490941.3,557993.3,2183990.3,1737569.3,210.5028,157176.8,263820.9,309798.4,525904.6,1609969.5,795359.3,1206109.5,525909.11,754252.34,1121911.3,1241833.3,266117.10,1639.4260,2605989.3,608534.3,64091.14,926569.3,2069310.3,41978.26,1002870.3,479434.6,479430.3,1123388.3,518.42,394503.7,454171.5,1391995.3,1884905.18,2003555.3,1560006.3,1946798.3,1577791.3,1435377.6,376620.10,406327.12,2023178.18,349741.6,436308.17,2597224.3,1408281.4,2067454.3,1647103.3,1947784.3,489703.3,1946934.3,379066.3,1749045.3,203907.6,272844.11,339860.19,813.178,444157.8,727.1550,1919250.3,1945871.3,1437881.3,126741.4,166793.3,349307.15,397948.10,1946522.3,926550.5,166.4,679936.5
Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	Efflux ABC transporter for glutathione/L-cysteine, essential for assembly of bd-type respiratory oxidases => CydD subunit	1639.4260,2183990.3,1391995.3,1423720.4,1737569.3,2003555.3,2069310.3,525909.11,754252.34,518.42
Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	2490941.3,557993.3,64091.14,572547.3,1079.16,2597224.3,157176.8,36868.4,415426.13,489703.3,1719125.3,1946251.3,2024841.10,397948.10,428411.4,2601575.3,376620.10,1715285.3
6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type	1882918.15,727.1550,166793.3,1737569.3,2003555.3,1560006.3,2162266.3,1079.16,376620.10,479434.6,679936.5,266117.10
Cobalt-precorrin-6B C15-methyltransferase [decarboxylating] (EC 2.1.1.196)	Cobalt-precorrin-8 methylmutase (EC 5.4.99.60)	1639.4260,444157.8,190304.8,166793.3,349307.15,926550.5,1435377.6,479430.3,679936.5,266117.10,394503.7
Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)	Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)	1639.4260,1491.958,727.1550,1423720.4,572547.3,1260.19,479434.6,655811.4,1408417.3,1647103.3,938289.3,126741.4,1560006.3,137778.5,376620.10,1121911.3,679936.5
LSU ribosomal protein L26e (L24p)	SSU ribosomal protein S15Ae (S8p)	415426.13,406327.12,64091.14,349307.15,436308.17,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
SSU ribosomal protein S16p	UPF0102 protein YraN	1121447.3,2605989.3,608534.3,2023178.18,1260.19,1946294.3,1408281.4,309798.4,1294039.3,454171.5,938289.3,166793.3,1946798.3,481448.7,1121911.3,266117.10
SSU ribosomal protein S18p, zinc-independent	SSU ribosomal protein S6p	2490941.3,557993.3,247481.57,2183990.3,1737569.3,210.5028,36868.4,1294039.3,1408417.3,2099.43,59196.3,2024841.10,1206109.5,137778.5,754252.34,1241833.3,1639.4260,28227.8,2069310.3,1260.19,1123388.3,518.42,163164.29,2003555.3,37692.4,376620.10,295320.3,716544.4,655811.4,2067454.3,1647103.3,1947784.3,489703.3,190304.8,1946934.3,379066.3,796939.3,1749045.3,203907.6,428411.4,2702.133,813.178,727.1550,1423720.4,1332188.3,1079.16,1945871.3,1437881.3,1719125.3,1715285.3,243273.25,2100.35,295596.4
Ribosome recycling factor	SSU ribosomal protein S2p (SAe)	1121447.3,2490941.3,557993.3,2183990.3,1737569.3,572547.3,1970770.3,157176.8,309798.4,525904.6,36868.4,1294039.3,1408417.3,1609969.5,521095.6,1805053.3,59196.3,795359.3,2024841.10,525909.11,754252.34,1121911.3,1241833.3,266117.10,1262806.3,2069310.3,1002870.3,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,454171.5,163164.29,1884905.18,2003555.3,1946798.3,37692.4,295320.3,1491.958,716544.4,2023178.18,1946283.3,2597224.3,1408281.4,1647103.3,1947784.3,489703.3,190304.8,1946934.3,379066.3,203907.6,1946251.3,2702.133,813.178,1423720.4,1332188.3,1919250.3,1946294.3,1945871.3,1437881.3,938289.3,166793.3,456827.3,59620.1701,1946522.3,926550.5,166.4,1715285.3,295596.4,679936.5
2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, beta subunit (EC 1.2.7.-)	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, delta subunit, ferredoxin-like 4Fe-4S binding protein (EC 1.2.7.-)	1121447.3,406327.12,1491.958,926569.3,445932.6,572547.3,374847.13,210.5028,1408281.4,309798.4,159.151,394503.7,126741.4,1805053.3,456827.3,1946798.3,137778.5,272844.11,926550.5,1121911.3,1947072.3,339860.19
Sporulation transcription regulator WhiA	Triosephosphate isomerase (EC 5.3.1.1)	1294039.3,2183990.3,521095.6,1884905.18,2069310.3,572547.3,2702.133,479430.3,754252.34,266117.10
NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	2490941.3,557993.3,583355.3,1882918.15,1737569.3,2023178.18,349741.6,157176.8,525904.6,2067454.3,1647103.3,489703.3,1946934.3,379066.3,59196.3,203907.6,2024841.10,1206109.5,525909.11,481448.7,754252.34,1241833.3,926569.3,1079.16,479430.3,1123388.3,518.42,1945871.3,454171.5,1437881.3,1391995.3,166793.3,1884905.18,456827.3,2003555.3,1560006.3,1548207.7,1946522.3,1715285.3,679936.5
Argininosuccinate synthase (EC 6.3.4.5)	Glutamate N-acetyltransferase (EC 2.3.1.35)	454171.5,1609969.5,2183990.3,126741.4,2003555.3,2069310.3,2200854.3,525909.11,1548207.7,926550.5,166.4,1121911.3
NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	2490941.3,557993.3,583355.3,1737569.3,2023178.18,349741.6,210.5028,157176.8,525904.6,2067454.3,1647103.3,489703.3,1946934.3,379066.3,59196.3,203907.6,2024841.10,1206109.5,525909.11,137778.5,481448.7,754252.34,1241833.3,926569.3,1079.16,479430.3,1123388.3,518.42,1945871.3,454171.5,1437881.3,1391995.3,166793.3,1884905.18,2003555.3,1560006.3,1548207.7,1946522.3,1715285.3,679936.5
3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase (EC 3.7.1.22)	Inosose dehydratase (EC 4.2.1.44)	2490941.3,2099.43,608534.3,2183990.3,1737569.3,1946251.3,1946798.3,1919250.3,1121911.3,525904.6,2067454.3,266117.10
NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	2490941.3,557993.3,583355.3,1737569.3,349741.6,210.5028,157176.8,2067454.3,1647103.3,489703.3,379066.3,59196.3,203907.6,2024841.10,1206109.5,525909.11,137778.5,481448.7,754252.34,1241833.3,926569.3,1079.16,479430.3,1123388.3,518.42,1945871.3,454171.5,1437881.3,1391995.3,166793.3,1884905.18,2003555.3,1560006.3,1548207.7,1946522.3,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)	2490941.3,557993.3,583355.3,1737569.3,2023178.18,210.5028,157176.8,525904.6,2067454.3,1647103.3,489703.3,1946934.3,379066.3,59196.3,203907.6,2024841.10,1206109.5,525909.11,137778.5,481448.7,754252.34,1241833.3,926569.3,1079.16,479430.3,1123388.3,518.42,1945871.3,454171.5,1437881.3,1391995.3,166793.3,1884905.18,2003555.3,1560006.3,1548207.7,1946522.3,1715285.3,679936.5
Flagellar hook protein FlgE	Flagellar motor rotation protein MotA	2605989.3,1491.958,1002870.3,2030824.4,309798.4,159.151,454171.5,126741.4,166793.3,796939.3,1946798.3,525909.11,166.4,1121911.3,1947072.3
NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	2490941.3,557993.3,583355.3,1737569.3,2023178.18,210.5028,157176.8,525904.6,2067454.3,1647103.3,489703.3,1946934.3,379066.3,59196.3,203907.6,2024841.10,1206109.5,525909.11,137778.5,481448.7,754252.34,1241833.3,926569.3,1079.16,479430.3,1123388.3,518.42,1945871.3,1437881.3,1391995.3,166793.3,1884905.18,2003555.3,1548207.7,1946522.3,1715285.3,679936.5
LSU ribosomal protein L4p (L1e)	SSU ribosomal protein S14p (S29e), zinc-independent	2490941.3,557993.3,2200854.3,36868.4,1408417.3,1647103.3,1947784.3,489703.3,190304.8,59196.3,1749045.3,203907.6,1206109.5,428411.4,1241833.3,727.1550,1401685.3,2601646.3,1437881.3,163164.29,1719125.3,37692.4,1972134.3,376620.10,1715285.3,1972133.3,295320.3
Oxygen-independent coproporphyrinogen-III oxidase-like protein YggW	Translation elongation factor LepA	2183990.3,1491.958,572547.3,1946283.3,1408281.4,309798.4,655811.4,1408417.3,521095.6,1805053.3,2702.133,754252.34,1121911.3,1639.4260,608534.3,1262806.3,2069310.3,41978.26,1002870.3,1260.19,479430.3,1946269.3,938289.3,1884905.18,2003555.3,679936.5
Oligopeptide ABC transporter, permease protein OppB (TC 3.A.1.5.1)	Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)	2490941.3,583355.3,2183990.3,1491.958,1737569.3,349741.6,2030824.4,525904.6,655811.4,521095.6,1805053.3,190304.8,796939.3,1946251.3,525909.11,1121911.3,1947072.3,266117.10,1639.4260,2605989.3,813.178,608534.3,727.1550,1423720.4,1260.19,479434.6,479430.3,1123388.3,454171.5,1437881.3,938289.3,1391995.3,1548207.7,926550.5,166.4
Alanyl-tRNA synthetase (EC 6.1.1.7)	Murein endolytic transglycosylase MltG	1639.4260,2183990.3,1262806.3,2069310.3,1332188.3,1002870.3,1919250.3,1123388.3,157176.8,1294039.3,521095.6,1805053.3,1884905.18,2003555.3,525909.11,1946522.3,926550.5,2702.133,754252.34,679936.5,266117.10
LSU ribosomal protein L35e (L29p)	SSU ribosomal protein S11e (S17p)	415426.13,406327.12,64091.14,349307.15,436308.17,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
Cytidine deaminase (EC 3.5.4.5)	GTP-binding protein Era	1639.4260,1491.958,1262806.3,1423720.4,572547.3,1002870.3,1260.19,309798.4,655811.4,394503.7,1408417.3,2099.43,126741.4,2003555.3,1121911.3,2100.35,679936.5,266117.10
Ribosome-binding factor A	Transcription termination protein NusA	1121447.3,557993.3,2183990.3,980251.5,2200854.3,572547.3,309798.4,525904.6,36868.4,1408417.3,2099.43,521095.6,59196.3,2024841.10,1206109.5,525909.11,754252.34,1121911.3,266117.10,1639.4260,2605989.3,608534.3,1262806.3,28227.8,926569.3,2069310.3,1002870.3,1260.19,479434.6,479430.3,518.42,394503.7,454171.5,163164.29,1884905.18,2003555.3,1946798.3,37692.4,376620.10,583355.3,1491.958,716544.4,2023178.18,349741.6,2597224.3,1408281.4,655811.4,1647103.3,190304.8,1946934.3,379066.3,796939.3,1749045.3,203907.6,1946251.3,481448.7,2702.133,813.178,1423720.4,1945871.3,1437881.3,938289.3,166793.3,456827.3,59620.1701,1548207.7,926550.5,243273.25,2100.35,679936.5
Efflux ABC transporter, ATP-binding protein	Two-component transcriptional response regulator, LuxR family	608534.3,2183990.3,1491.958,166793.3,2003555.3,1521403.3,1560006.3,2069310.3,1919250.3,479430.3,754252.34,1947072.3
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)	1121447.3,1408417.3,2490941.3,1437881.3,521095.6,190304.8,727.1550,1946251.3,1946798.3,41978.26,1260.19,376620.10
